run,seed,model,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,train_time_sec,test_time_sec
19,60,ELM,0.7675,0.7819148936170213,0.9639344262295082,0.8634361233480177,0.550388265746333,13,82,11,294,0.007560400000002687,0.0002652000000011867
19,60,LogReg,0.76,0.7619047619047619,0.9967213114754099,0.8636363636363636,0.6211216566005177,0,95,1,304,0.011485699999994381,0.0011995999999996343
19,60,RF,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.1271519000000012,0.010359499999999855
19,60,SVC_RBF,0.765,0.7644110275689223,1.0,0.8664772727272727,0.02198446937014668,1,94,0,305,0.21450980000000186,0.022586599999996793
19,60,XGB,0.7625,0.7625,1.0,0.8652482269503546,0.9296635030198447,0,95,0,305,0.04766779999999926,0.0019090000000048235
19,60,MLP,0.815,0.8130081300813008,0.9836065573770492,0.8902077151335311,0.8640207075064711,26,69,5,300,0.7932217000000037,0.0019003999999966936
19,60,KNN,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.025850800000000618,0.00951289999999716
19,60,DT,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.012380799999995418,0.0009793999999985203
20,61,ELM,0.7825,0.7898936170212766,0.9737704918032787,0.8722466960352423,0.5710957722174288,16,79,8,297,0.0053545999999968785,0.00023980000000278778
20,61,LogReg,0.7625,0.7625,1.0,0.8652482269503546,0.6029335634167385,0,95,0,305,0.007272199999995621,0.0005633000000031529
20,61,RF,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.12834180000000117,0.010938299999999401
20,61,SVC_RBF,0.765,0.7644110275689223,1.0,0.8664772727272727,0.9516824849007764,1,94,0,305,0.22254389999999802,0.02319179999999932
20,61,XGB,0.7625,0.7625,1.0,0.8652482269503546,0.9050560828300258,0,95,0,305,0.042800200000002064,0.0027613999999971384
20,61,MLP,0.8425,0.8361111111111111,0.9868852459016394,0.9052631578947369,0.8875237273511647,36,59,4,301,0.8779088000000002,0.0020605999999929736
20,61,KNN,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.02612520000000984,0.010449499999992895
20,61,DT,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.008255899999994654,0.0009622000000035769
