run,seed,model,arm,tn,fp,fn,tp,accuracy,precision,recall,sensitivity,specificity,npv,f1,balanced_accuracy,gmean,mcc,roc_auc,pr_auc,brier
3,44,XGB,smote,12,12,27,49,0.61,0.8032786885245902,0.6447368421052632,0.6447368421052632,0.5,0.3076923076923077,0.7153284671532847,0.5723684210526316,0.5677749739576688,0.126734334565298,0.5216557017543859,0.7782279095142612,0.2391044225794781
3,44,XGB,classweight,11,13,36,40,0.51,0.7547169811320755,0.5263157894736842,0.5263157894736842,0.4583333333333333,0.2340425531914893,0.6201550387596899,0.4923245614035088,0.4911497431287515,-0.0131358672416742,0.5213815789473685,0.7744083834239087,0.2429722400248988
3,44,XGB,threshold,18,6,58,18,0.36,0.75,0.2368421052631578,0.2368421052631578,0.75,0.2368421052631578,0.36,0.4934210526315789,0.4214636152117623,-0.0131578947368421,0.5296052631578947,0.7890376774310964,0.1833706316243764
3,44,LR,none,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.4917763157894737,0.7773308336418135,0.186226682897472
3,44,LR,smote,9,15,33,43,0.52,0.7413793103448276,0.5657894736842105,0.5657894736842105,0.375,0.2142857142857142,0.6417910447761194,0.4703947368421052,0.4606202911635341,-0.0512357026478917,0.4786184210526315,0.7770058434602738,0.2527268002997656
3,44,LR,classweight,10,14,33,43,0.53,0.7543859649122807,0.5657894736842105,0.5657894736842105,0.4166666666666667,0.2325581395348837,0.6466165413533834,0.4912280701754385,0.4855364188555661,-0.0151344243092545,0.4890350877192982,0.7759521233128631,0.2501864094131314
3,44,LR,threshold,7,17,27,49,0.56,0.7424242424242424,0.6447368421052632,0.6447368421052632,0.2916666666666667,0.2058823529411764,0.6901408450704225,0.4682017543859649,0.4336452993104331,-0.057336891739893,0.4917763157894737,0.7773308336418135,0.186226682897472
3,44,ELM,none,0,24,3,73,0.73,0.7525773195876289,0.9605263157894736,0.9605263157894736,0.0,0.0,0.8439306358381503,0.4802631578947368,0.0,-0.0988265387085873,0.4901315789473684,0.7730406462310713,0.2024292229234258
3,44,ELM,smote,5,19,23,53,0.58,0.7361111111111112,0.6973684210526315,0.6973684210526315,0.2083333333333333,0.1785714285714285,0.7162162162162162,0.4528508771929824,0.381162809989771,-0.0896955228993151,0.4797149122807017,0.7783272152974027,0.2345148772391307
3,44,ELM,threshold,7,17,23,53,0.6,0.7571428571428571,0.6973684210526315,0.6973684210526315,0.2916666666666667,0.2333333333333333,0.726027397260274,0.4945175438596491,0.4509979188499848,-0.010218988991416,0.4901315789473684,0.7730406462310713,0.2024292229234258
3,44,MEO,none,2,22,3,73,0.75,0.7684210526315789,0.9605263157894736,0.9605263157894736,0.0833333333333333,0.4,0.8538011695906432,0.5219298245614035,0.2829202354889498,0.085947008518708,0.4446271929824561,0.7322876713742326,0.2046486324047222
3,44,MEO,smote,9,15,30,46,0.55,0.7540983606557377,0.6052631578947368,0.6052631578947368,0.375,0.2307692307692307,0.6715328467153284,0.4901315789473684,0.4764175523745177,-0.0172819547134497,0.4610745614035088,0.7298463611533871,0.2470662286419466
3,44,MEO,threshold,20,4,67,9,0.29,0.6923076923076923,0.1184210526315789,0.1184210526315789,0.8333333333333334,0.2298850574712643,0.2022471910112359,0.4758771929824562,0.3141404312187716,-0.0612687405068518,0.4446271929824561,0.7322876713742326,0.2046486324047222
3,44,HIWOA,none,2,22,0,76,0.78,0.7755102040816326,1.0,1.0,0.0833333333333333,1.0,0.8735632183908046,0.5416666666666666,0.2886751345948128,0.2542161488578883,0.5416666666666667,0.7765323237677144,0.1988084476167037
