run,seed,model,arm,tn,fp,fn,tp,accuracy,precision,recall,sensitivity,specificity,npv,f1,balanced_accuracy,gmean,mcc,roc_auc,pr_auc,brier
3,44,HGS,none,2,22,3,73,0.75,0.7684210526315789,0.9605263157894737,0.9605263157894737,0.08333333333333333,0.4,0.8538011695906432,0.5219298245614035,0.2829202354889498,0.085947008518708,0.5323464912280702,0.7804848129042781,0.2002647627897009
3,44,HGS,smote,14,10,28,48,0.62,0.8275862068965517,0.631578947368421,0.631578947368421,0.5833333333333334,0.3333333333333333,0.7164179104477612,0.6074561403508771,0.6069769786668839,0.18596662442568107,0.6008771929824561,0.8284985371158156,0.23263388127653348
3,44,HGS,threshold,7,17,21,55,0.62,0.7638888888888888,0.7236842105263158,0.7236842105263158,0.2916666666666667,0.25,0.7432432432432432,0.5076754385964912,0.4594285160974543,0.0146015967510513,0.5323464912280702,0.7804848129042781,0.2002647627897009
3,44,HHO,none,2,22,1,75,0.77,0.7731958762886598,0.9868421052631579,0.9868421052631579,0.08333333333333333,0.6666666666666666,0.8670520231213873,0.5350877192982456,0.2867696673382022,0.17569162437082195,0.5104166666666666,0.7639083275333806,0.19969358991117717
3,44,HHO,smote,14,10,30,46,0.6,0.8214285714285714,0.6052631578947368,0.6052631578947368,0.5833333333333334,0.3181818181818182,0.696969696969697,0.5942982456140351,0.5941970846769584,0.16226530627186855,0.6085526315789473,0.8358849907169611,0.23229431429363787
3,44,HHO,threshold,5,19,14,62,0.67,0.7654320987654321,0.8157894736842105,0.8157894736842105,0.20833333333333334,0.2631578947368421,0.7898089171974523,0.5120614035087719,0.4122573714936789,0.02626158593627189,0.5104166666666666,0.7639083275333806,0.19969358991117717
4,45,SVM,none,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.4731359649122807,0.740670778468769,0.1839329258363273
4,45,SVM,smote,7,17,14,62,0.69,0.7848101265822784,0.8157894736842105,0.8157894736842105,0.2916666666666667,0.3333333333333333,0.8,0.5537280701754386,0.4877895001855084,0.11267315656459713,0.4956140350877193,0.7655596889321661,0.23697142377089772
4,45,SVM,classweight,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.40789473684210525,0.7252803586298907,0.18786327688891366
4,45,SVM,threshold,15,9,45,31,0.46,0.775,0.40789473684210525,0.40789473684210525,0.625,0.25,0.5344827586206896,0.5164473684210527,0.5049101014302603,0.02867696673382022,0.4731359649122807,0.740670778468769,0.1839329258363273
4,45,MLP,none,4,20,5,71,0.75,0.7802197802197802,0.9342105263157895,0.9342105263157895,0.16666666666666666,0.4444444444444444,0.8502994011976048,0.5504385964912281,0.3945906161909643,0.15054400136739715,0.6156798245614035,0.8253601698439481,0.1844452204766308
4,45,MLP,smote,13,11,28,48,0.61,0.8135593220338984,0.631578947368421,0.631578947368421,0.5416666666666666,0.3170731707317073,0.7111111111111111,0.5866228070175439,0.5848976518656017,0.15043771608912274,0.5855263157894737,0.8001258008776835,0.24197222530483098
4,45,MLP,threshold,15,9,41,35,0.5,0.7954545454545454,0.4605263157894737,0.4605263157894737,0.625,0.26785714285714285,0.5833333333333334,0.5427631578947368,0.5364969220493451,0.0735854295884055,0.6156798245614035,0.8253601698439481,0.1844452204766308
4,45,XGB,none,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.6321271929824561,0.8655591284533866,0.17643806452290162
